time,P
2022-04-27 15:26:42.1560,100129.34
2022-04-27 15:26:43.1280,100129.34
2022-04-27 15:26:44.1000,100486.55
2022-04-27 15:26:45.0750,101190.2
2022-04-27 15:26:46.0450,102297.45
2022-04-27 15:26:47.0220,103887.77
2022-04-27 15:26:47.9940,105633.14
2022-04-27 15:26:48.9630,107368.64
2022-04-27 15:26:49.9330,108769.96
2022-04-27 15:26:50.9070,109748.2
2022-04-27 15:26:51.8800,110397.05
2022-04-27 15:26:52.8520,110802.22
2022-04-27 15:26:53.8270,110802.22
2022-04-27 15:26:54.7970,110297.84
2022-04-27 15:26:55.7690,108718.37
2022-04-27 15:26:56.7460,106523.11
2022-04-27 15:26:57.7170,104271.81
2022-04-27 15:26:58.6850,102193.98
2022-04-27 15:26:59.6580,100535.18
2022-04-27 15:27:00.6320,100535.18
2022-04-27 15:27:01.6030,101565.93
2022-04-27 15:27:02.5750,101576.42
2022-04-27 15:27:03.5470,101822.86
2022-04-27 15:27:04.5220,102727.84
2022-04-27 15:27:05.4980,104137.86
2022-04-27 15:27:06.4660,104798.61
2022-04-27 15:27:07.4370,106113.4
2022-04-27 15:27:08.4080,107174.08
2022-04-27 15:27:09.3800,107174.08
2022-04-27 15:27:10.3540,105622.31
2022-04-27 15:27:11.3250,103642.77
2022-04-27 15:27:12.2990,102255.14
2022-04-27 15:27:13.2710,101144.75
2022-04-27 15:27:14.2480,101144.75
2022-04-27 15:27:15.2130,101223.16
2022-04-27 15:27:16.1860,101448.81
2022-04-27 15:27:17.1570,101448.81
2022-04-27 15:27:18.1290,101354.82
2022-04-27 15:27:19.1020,100836.16
2022-04-27 15:27:20.0750,100255.92
2022-04-27 15:27:21.0460,99959.59
2022-04-27 15:27:22.0170,99957.45
2022-04-27 15:27:22.9890,99957.45
2022-04-27 15:27:23.9630,100480.96
2022-04-27 15:27:24.9340,101727.37
2022-04-27 15:27:25.9050,103669.86
2022-04-27 15:27:26.8780,105932.97
2022-04-27 15:27:27.8520,108224.6
2022-04-27 15:27:28.8230,109491.81
2022-04-27 15:27:29.7930,109491.81
2022-04-27 15:27:30.7660,107649.66
2022-04-27 15:27:31.7370,106123.4
2022-04-27 15:27:32.7080,104570.72
2022-04-27 15:27:33.6800,102986.57
2022-04-27 15:27:34.6530,102977.93
2022-04-27 15:27:35.6320,102795.12
2022-04-27 15:27:36.5960,102323.46
2022-04-27 15:27:37.5690,101593.27
2022-04-27 15:27:38.5430,100889.95
2022-04-27 15:27:39.5140,100231.3
2022-04-27 15:27:40.4890,99968.7
2022-04-27 15:27:41.4580,99968.7
2022-04-27 15:27:42.4320,99975.4
2022-04-27 15:27:43.4030,100143.08
2022-04-27 15:27:44.3810,100711.21
2022-04-27 15:27:45.3480,101759.99
2022-04-27 15:27:46.3200,103000.5
2022-04-27 15:27:47.2920,103024.63
2022-04-27 15:27:48.2670,103024.63
2022-04-27 15:27:49.2370,102521.58
2022-04-27 15:27:50.2090,101517.38
