time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:31.4810,0.021,0.029,0.002,-1.17,-10.22,-0.17,0.68,-0.26,0.1,100382.401
2022-04-27 11:44:31.4910,0.027,-0.018,0.094,-1.24,-9.74,-1.02,0.54,-0.37,0.18,100382.401
2022-04-27 11:44:31.5010,0.025,-0.059,0.107,-1.3,-9.33,-1.46,0.54,-0.37,0.18,100382.401
2022-04-27 11:44:31.5110,-0.004,-0.102,0.076,-1.12,-8.92,-1.15,0.35,-0.44,0.23,100382.401
2022-04-27 11:44:31.5210,-0.046,-0.118,0.101,-0.78,-8.6,-1.15,-0.16,-0.45,0.14,100382.401
2022-04-27 11:44:31.5310,-0.08,-0.092,0.089,-0.37,-8.7,-1.3,-0.4,-0.44,0.04,100382.401
2022-04-27 11:44:31.5410,-0.072,-0.017,0.051,-0.29,-9.31,-0.88,-0.43,-0.29,-0.05,100382.401
2022-04-27 11:44:31.5510,-0.004,0.014,-0.016,-0.76,-9.76,-0.62,-0.42,-0.22,-0.1,100382.401
2022-04-27 11:44:31.5610,0.033,0.097,-0.079,-1.31,-10.36,0.23,-0.29,-0.05,-0.12,100382.401
2022-04-27 11:44:31.5710,0.107,0.141,-0.106,-1.74,-11.08,0.4,-0.19,-0.09,-0.0,100382.401
2022-04-27 11:44:31.5810,0.131,0.167,-0.14,-2.46,-11.26,0.95,-0.19,-0.09,-0.0,100382.401
2022-04-27 11:44:31.5910,0.023,0.185,-0.109,-1.76,-11.51,0.66,0.08,-0.26,0.15,100382.401
2022-04-27 11:44:31.6010,-0.098,0.212,-0.146,-0.5,-11.75,0.76,0.26,-0.34,0.18,100382.401
2022-04-27 11:44:31.6110,-0.12,0.192,-0.18,0.13,-11.75,1.32,0.4,-0.34,0.19,100382.401
2022-04-27 11:44:31.6200,-0.043,0.162,-0.126,-0.34,-11.44,1.05,0.47,-0.29,0.2,100382.401
2022-04-27 11:44:31.6300,0.057,0.124,-0.098,-1.34,-11.09,0.7,0.45,0.07,0.36,100382.401
2022-04-27 11:44:31.6400,0.161,0.139,-0.037,-2.37,-11.19,0.08,0.65,-0.01,0.35,100382.401
2022-04-27 11:44:31.6500,0.225,-0.086,-0.147,-3.24,-9.68,1.09,0.61,0.08,0.42,100382.401
2022-04-27 11:44:31.6600,0.167,0.019,-0.006,-3.3,-9.23,0.32,0.61,0.08,0.42,100382.401
2022-04-27 11:44:31.6700,-0.044,0.01,-0.055,-1.7,-10.22,0.06,0.56,0.24,0.51,100382.401
2022-04-27 11:44:31.6800,-0.154,0.017,-0.021,0.08,-9.55,0.55,0.56,0.04595417529344559,0.48,100382.401
2022-04-27 11:44:31.6900,-0.081,-0.091,-0.123,-0.29,-9.69,0.55,0.68,0.05,0.48,100382.401
