time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-04-27 12:13:21.1680,0.031,0.713,-0.042,0.02,2.4,0.4,0.06,-0.24,-0.08
2022-04-27 12:13:21.1790,0.031,0.669,-0.043,0.03,2.93,0.38,0.13,-0.24,-0.01
2022-04-27 12:13:21.1880,0.033,0.674,-0.043,0.03,3.27,0.39,0.2,-0.24,0.07
2022-04-27 12:13:21.1980,0.034,0.657,-0.041,0.01,3.17,0.36,0.2,-0.24,0.07
2022-04-27 12:13:21.2090,0.029,0.564,-0.039,0.03,3.54,0.3,0.31,-0.23,0.22
2022-04-27 12:13:21.2180,0.024,0.462,-0.035,0.11,4.5,0.26,0.35,-0.22,0.28
2022-04-27 12:13:21.2270,0.013,0.293,-0.025,0.19,5.53,0.17,0.36,-0.21,0.3
2022-04-27 12:13:21.2380,-0.003,0.022,-0.026,0.35,7.67,0.02,0.43,-0.22,0.29
2022-04-27 12:13:21.2480,-0.004,-0.003,-0.032,0.51,9.85,0.06,0.46,-0.23,0.29
2022-04-27 12:13:21.2580,-0.003,0.008,-0.022,0.52,9.75,0.0,0.48,-0.23,0.29
2022-04-27 12:13:21.2680,-0.004,0.006,-0.018,0.55,9.72,-0.12,0.48,-0.23,0.29
2022-04-27 12:13:21.2780,-0.004,0.01,-0.015,0.58,9.7,-0.21,0.47,-0.23,0.29
2022-04-27 12:13:21.2890,-0.003,0.008,-0.013,0.61,9.68,-0.29,0.46,-0.22,0.29
2022-04-27 12:13:21.2980,-0.003,0.006,-0.012,0.63,9.7,-0.34,0.44,-0.22,0.28
2022-04-27 12:13:21.3080,-0.004,0.004,-0.012,0.65,9.71,-0.39,0.42,-0.21,0.28
2022-04-27 12:13:21.3170,-0.004,0.005,-0.012,0.69,9.72,-0.44,0.41,-0.21,0.28
2022-04-27 12:13:21.3270,-0.004,0.005,-0.012,0.71,9.71,-0.48,0.39,-0.21,0.28
2022-04-27 12:13:21.3360,-0.003,0.005,-0.014,0.74,9.72,-0.51,0.38,-0.2,0.28
2022-04-27 12:13:21.3470,-0.004,0.005,-0.016,0.76,9.71,-0.53,0.38,-0.2,0.28
2022-04-27 12:13:21.3570,-0.004,0.006,-0.017,0.79,9.7,-0.55,0.38,-0.2,0.28
2022-04-27 12:13:21.3670,-0.003,0.004,-0.017,0.82,9.69,-0.58,0.39,-0.2,0.28
2022-04-27 12:13:21.3770,-0.003,0.006,-0.02,0.84,9.7,-0.61,0.4,-0.2,0.28
2022-04-27 12:13:21.3870,-0.003,0.006,-0.02,0.86,9.68,-0.63,0.41,-0.2,0.28
2022-04-27 12:13:21.3970,-0.004,0.005,-0.021,0.89,9.68,-0.67,0.42,-0.2,0.28
2022-04-27 12:13:21.4070,-0.003,0.006,-0.021,0.92,9.67,-0.71,0.43,-0.2,0.27
2022-04-27 12:13:21.4170,-0.003,0.007,-0.02,0.94,9.66,-0.75,0.44,-0.2,0.27
2022-04-27 12:13:21.4280,-0.004,0.006,-0.02,0.96,9.64,-0.8,0.44,-0.2,0.27
2022-04-27 12:13:21.4360,-0.004,0.006,-0.022,0.99,9.64,-0.84,0.44,-0.2,0.27
2022-04-27 12:13:21.4470,-0.003,0.006,-0.023,1.02,9.63,-0.87,0.45,-0.2,0.27
2022-04-27 12:13:21.4570,-0.002,0.007,-0.024,1.03,9.62,-0.9,0.46,-0.2,0.27
2022-04-27 12:13:21.4660,-0.004,0.007,-0.022,1.06,9.61,-0.95,0.46,-0.2,0.27
2022-04-27 12:13:21.4760,-0.004,0.007,-0.025,1.08,9.6,-1.0,0.46,-0.21,0.27
2022-04-27 12:13:21.4870,-0.004,0.007,-0.027,1.11,9.6,-1.01,0.47,-0.21,0.27
Time,-0.003,0.009,-0.026,1.13,9.58,-1.05,0.48,-0.22,0.27
2022-04-27 12:13:21.5070,-0.004,0.009,-0.027,1.15,9.56,-1.11,0.49,-0.22,0.27
2022-04-27 12:13:21.5170,-0.003,0.011,-0.027,1.18,9.54,-1.14,0.5,-0.23,0.27
2022-04-27 12:13:21.5270,-0.005,0.018,-0.025,1.2,9.52,-1.19,0.46,-0.37,0.14
2022-04-27 12:13:21.5360,-0.036,1.255,0.111,1.35,8.76,-1.26,-0.4,-0.86,0.15
2022-04-27 12:13:21.5460,0.061,1.644,0.707,1.23,-6.43,-4.24,-1.18,-1.66,0.16
2022-04-27 12:13:21.5560,0.099,1.356,0.086,0.49,-5.0,-7.99,-1.13,-2.62,0.2
2022-04-27 12:13:21.5660,0.169,1.48,-0.546,0.05,-4.02,0.09,-1.13,-2.62,0.2
2022-04-27 12:13:21.5760,0.225,1.503,-0.738,-0.67,-4.91,4.57,-0.43,-3.24,0.35
2022-04-27 12:13:21.5860,0.267,1.681,-1.126,-1.23,-5.3,6.81,-0.72,-2.89,0.26
2022-04-27 12:13:21.5960,0.436,2.147,-1.164,-1.68,-7.75,10.67,-1.47,-1.72,0.26
2022-04-27 12:13:21.6060,0.547,2.292,-0.695,-3.66,-12.39,9.11,-1.98,-0.34,0.26
2022-04-27 12:13:21.6160,0.594,2.104,-0.648,-4.37,-12.17,6.08,-1.98,-0.34,0.26
Time,0.031,2.313,0.769,-3.88,-10.99,4.17,-2.17,0.81,0.31
2022-04-27 12:13:21.6350,0.395,2.666,-0.544,1.13,-14.69,-9.92,0.41,-0.6,0.42
2022-04-27 12:13:21.6450,0.257,2.12,-0.915,-3.02,-15.12,9.07,1.43,-0.19,0.52
2022-04-27 12:13:21.6560,0.093,2.013,-0.497,-0.4,-10.37,5.81,1.53,-0.74,0.36
2022-04-27 12:13:21.6660,0.158,1.961,-0.642,0.24,-10.17,4.26,1.68,-0.55,0.09
2022-04-27 12:13:21.6740,0.183,1.836,-0.426,-0.34,-9.39,4.88,1.48,-0.96,-0.24
2022-04-27 12:13:21.6850,0.198,1.707,-0.177,-0.75,-7.93,1.4,1.29,-0.72,-0.36
2022-04-27 12:13:21.6950,0.144,1.664,-0.326,-0.5,-7.15,0.52,1.18,-0.65,-0.4
2022-04-27 12:13:21.7050,0.105,1.578,-0.293,-0.28,-6.34,1.56,0.79,-0.63,-0.46
2022-04-27 12:13:21.7160,0.143,1.572,-0.281,0.01,-6.02,0.81,0.44,-0.54,-0.49
2022-04-27 12:13:21.7260,0.115,1.526,-0.315,-0.35,-5.66,1.11,0.38,-0.43,-0.52
2022-04-27 12:13:21.7340,0.12,1.527,-0.285,-0.15,-5.43,1.05,0.42,-0.3,-0.54
2022-04-27 12:13:21.7440,0.1,1.49,-0.323,-0.25,-5.33,0.9,0.5,-0.25,-0.53
2022-04-27 12:13:21.7550,0.099,1.455,-0.348,-0.1,-4.98,1.25,0.6,-0.24,-0.54
